action_debug,action_duty_ref,action_v_ref,dt,g,i,p,t,t_mod,v
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.015000000000000006,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.016000000000000007,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.017000000000000008,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.01800000000000001,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.01900000000000001,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.02000000000000001,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.02100000000000001,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.022000000000000013,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.023000000000000013,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.024000000000000014,25.0,17.996
